,Name,Price,Genres,Release date,Average playtime forever,Positive,Negative
2539430,"Aug 1, 2023",0,,0 - 0,0,0,0
496350,"Jul 29, 2016",65,Adventure,0 - 20000,8,252,3
1034400,"May 6, 2019",0,Casual,0 - 20000,0,21,3
3292190,"Oct 31, 2024",0,"Casual,Indie,Simulation",0 - 20000,0,0,0
3631080,"Apr 24, 2025",0,"Action,Early Access",0 - 20000,0,0,0
1654170,"Apr 5, 2023",0,"Action,Adventure",0 - 20000,0,0,0
1934300,"Apr 8, 2025",10,"Simulation,Strategy",0 - 20000,675,117,13
700340,"Feb 1, 2018",0,"Action,Indie",0 - 20000,0,0,0
1157670,"May 7, 2021",0,"Casual,Indie",0 - 20000,0,28,4
1540330,"Dec 13, 2021",0,"Action,Casual,Indie,Strategy",0 - 20000,0,19,6
1946890,"Mar 25, 2022",0,,0 - 0,0,0,0
1108640,"Sep 25, 2019",0,"Adventure,Indie",0 - 20000,0,47,6
1025440,"Sep 5, 2019",0,Strategy,100000 - 200000,489,1025,210
2113450,"Apr 5, 2023",70,"Casual,Indie",0 - 20000,0,64,2
2922740,"Apr 19, 2024",66,"Adventure,Casual,Indie",0 - 20000,0,34,10
1282900,"Apr 29, 2020",0,RPG,0 - 20000,0,0,0
2517090,"Aug 10, 2023",0,Action,0 - 20000,0,2,0
328460,"Oct 23, 2014",0,"Action,Racing",0 - 20000,203,74,35
2260230,"Jan 9, 2023",0,"Action,Adventure,Indie,Free To Play,Early Access",0 - 0,0,0,0
2403000,"Jul 28, 2023",0,Casual,0 - 20000,88,0,0
2713630,"Jan 24, 2025",0,"Casual,Indie,Simulation",0 - 0,0,0,0
1607040,"Oct 21, 2021",0,"Indie,Strategy",0 - 20000,480,55,14
815170,"Jun 1, 2018",0,"Action,Adventure,Indie,RPG",0 - 20000,0,0,4
2072070,"Feb 14, 2024",0,"RPG,Strategy",0 - 20000,0,0,0
2349750,"Mar 8, 2023",0,,0 - 0,0,0,0
2628280,"Oct 4, 2023",0,,0 - 0,0,0,0
688420,"Nov 16, 2018",80,"Action,Indie,Simulation",500000 - 1000000,342,11367,831
657010,"Jul 26, 2017",0,"Casual,Free To Play",100000 - 200000,111,144,35
3281190,"Dec 4, 2024",0,"Action,Adventure,Casual,Indie,Sports",0 - 20000,0,6,0
